PERMNO,date,TICKER,PRC,VOL
14593,2018-08-06,AAPL,209.07001,25424187
14593,2018-08-07,AAPL,207.11000,25583772
14593,2018-08-08,AAPL,207.25000,22524820
14593,2018-08-09,AAPL,208.88000,23489476
14593,2018-08-10,AAPL,207.53000,24900152
14593,2018-08-13,AAPL,208.87000,25888580
14593,2018-08-14,AAPL,209.75000,20733210
14593,2018-08-15,AAPL,210.24001,28803464
14593,2018-08-16,AAPL,213.32001,28499141
14593,2018-08-17,AAPL,217.58000,35423222
14593,2018-08-20,AAPL,215.46001,30285517
14593,2018-08-21,AAPL,215.03999,26151763
14593,2018-08-22,AAPL,215.05000,19013736
14593,2018-08-23,AAPL,215.49001,18879935
14593,2018-08-24,AAPL,216.16000,18473656
14593,2018-08-27,AAPL,217.94000,20520142
14593,2018-08-28,AAPL,219.70000,22775594
14593,2018-08-29,AAPL,222.98000,27254154
14593,2018-08-30,AAPL,225.03000,48899298
14593,2018-08-31,AAPL,227.63000,43340143
14593,2018-09-04,AAPL,228.36000,27387073
14593,2018-09-05,AAPL,226.87000,33369115
14593,2018-09-06,AAPL,223.10001,34286666
14593,2018-09-07,AAPL,221.30000,37616010
14593,2018-09-10,AAPL,218.33000,39516786
14593,2018-09-11,AAPL,223.85001,35749054
14593,2018-09-12,AAPL,221.07001,49291846
14593,2018-09-13,AAPL,226.41000,41711910
14593,2018-09-14,AAPL,223.84000,32100597
14593,2018-09-17,AAPL,217.88000,37187315
14593,2018-09-18,AAPL,218.24001,31568212
14593,2018-09-19,AAPL,218.37000,27116578
14593,2018-09-20,AAPL,220.03000,26590294
14593,2018-09-21,AAPL,217.66000,96243548
14593,2018-09-24,AAPL,220.78999,27693383
14593,2018-09-25,AAPL,222.19000,24550084
14593,2018-09-26,AAPL,220.42000,23983106
14593,2018-09-27,AAPL,224.95000,30186438
14593,2018-09-28,AAPL,225.74001,22926957
14593,2018-10-01,AAPL,227.25999,23599774
14593,2018-10-02,AAPL,229.28000,25047820
14593,2018-10-03,AAPL,232.07001,28651227
14593,2018-10-04,AAPL,227.99001,32039176
14593,2018-10-05,AAPL,224.28999,33575176
14593,2018-10-08,AAPL,223.77000,29660651
14593,2018-10-09,AAPL,226.87000,26891929
14593,2018-10-10,AAPL,216.36000,42008196
14593,2018-10-11,AAPL,214.45000,53127001
14593,2018-10-12,AAPL,222.11000,40337354
14593,2018-10-15,AAPL,217.36000,30781606
14593,2018-10-16,AAPL,222.14999,29181563
14593,2018-10-17,AAPL,221.19000,22885302
14593,2018-10-18,AAPL,216.02000,32579515
14593,2018-10-19,AAPL,219.31000,33080889
14593,2018-10-22,AAPL,220.64999,28791082
14593,2018-10-23,AAPL,222.73000,38950162
14593,2018-10-24,AAPL,215.09000,40923563
14593,2018-10-25,AAPL,219.80000,29852618
14593,2018-10-26,AAPL,216.30000,47257879
14593,2018-10-29,AAPL,212.24001,45932425
14593,2018-10-30,AAPL,213.30000,36658742
14593,2018-10-31,AAPL,218.86000,38359479
14593,2018-11-01,AAPL,222.22000,58331798
14593,2018-11-02,AAPL,207.48000,91349313
14593,2018-11-05,AAPL,201.59000,66164146
14593,2018-11-06,AAPL,203.77000,31939211
14593,2018-11-07,AAPL,209.95000,33424757
14593,2018-11-08,AAPL,208.49001,25361461
14593,2018-11-09,AAPL,204.47000,34364958
14593,2018-11-12,AAPL,194.17000,51157880
14593,2018-11-13,AAPL,192.23000,46879636
14593,2018-11-14,AAPL,186.80000,60803862
14593,2018-11-15,AAPL,191.41000,46477007
14593,2018-11-16,AAPL,193.53000,36928131
14593,2018-11-19,AAPL,185.86000,41921937
14593,2018-11-20,AAPL,176.98000,67832035
14593,2018-11-21,AAPL,176.78000,31123011
14593,2018-11-23,AAPL,172.28999,23623972
14593,2018-11-26,AAPL,174.62000,44997072
14593,2018-11-27,AAPL,174.24001,41382277
14593,2018-11-28,AAPL,180.94000,46061542
14593,2018-11-29,AAPL,179.55000,41769792
14593,2018-11-30,AAPL,178.58000,39530489
14593,2018-12-03,AAPL,184.82001,40794741
14593,2018-12-04,AAPL,176.69000,41344113
14593,2018-12-06,AAPL,174.72000,43097763
14593,2018-12-07,AAPL,168.49001,42280931
14593,2018-12-10,AAPL,169.60001,62027294
14593,2018-12-11,AAPL,168.63000,47276065
14593,2018-12-12,AAPL,169.10001,35627037
14593,2018-12-13,AAPL,170.95000,31897762
14593,2018-12-14,AAPL,165.48000,40703010
14593,2018-12-17,AAPL,163.94000,44227262
14593,2018-12-18,AAPL,166.07001,33840420
14593,2018-12-19,AAPL,160.89000,49044699
14593,2018-12-20,AAPL,156.83000,64772300
14593,2018-12-21,AAPL,150.73000,95745920
14593,2018-12-24,AAPL,146.83000,37249292
14593,2018-12-26,AAPL,157.17000,58584634
14593,2018-12-27,AAPL,156.14999,53117005
14593,2018-12-28,AAPL,156.23000,42291347
14593,2018-12-31,AAPL,157.74001,35003466
14593,2019-01-02,AAPL,157.92000,37066356
14593,2019-01-03,AAPL,142.19000,91373695
14593,2019-01-04,AAPL,148.25999,58603001
14593,2019-01-07,AAPL,147.92999,54770364
14593,2019-01-08,AAPL,150.75000,41026062
14593,2019-01-09,AAPL,153.31000,45098881
14593,2019-01-10,AAPL,153.80000,35778275
14593,2019-01-11,AAPL,152.28999,27017204
14593,2019-01-14,AAPL,150.00000,32468877
14593,2019-01-15,AAPL,153.07001,28707624
14593,2019-01-16,AAPL,154.94000,31038506
14593,2019-01-17,AAPL,155.86000,29820196
14593,2019-01-18,AAPL,156.82001,33747398
14593,2019-01-22,AAPL,153.30000,30390836
14593,2019-01-23,AAPL,153.92000,23128770
14593,2019-01-24,AAPL,152.70000,25439969
14593,2019-01-25,AAPL,157.75999,33543693
14593,2019-01-28,AAPL,156.30000,26189758
14593,2019-01-29,AAPL,154.67999,41582339
14593,2019-01-30,AAPL,165.25000,61110767
14593,2019-01-31,AAPL,166.44000,40735850
14593,2019-02-01,AAPL,166.52000,32678838
14593,2019-02-04,AAPL,171.25000,31493982
14593,2019-02-05,AAPL,174.17999,36099339
14593,2019-02-06,AAPL,174.24001,28234691
14593,2019-02-07,AAPL,170.94000,31758590
14593,2019-02-08,AAPL,170.41000,23818606
14593,2019-02-11,AAPL,169.42999,20992225
14593,2019-02-12,AAPL,170.89000,22289660
14593,2019-02-13,AAPL,170.17999,22492533
14593,2019-02-14,AAPL,170.80000,21833598
14593,2019-02-15,AAPL,170.42000,24625614
14593,2019-02-19,AAPL,170.92999,19268826
14593,2019-02-20,AAPL,172.03000,26111462
14593,2019-02-21,AAPL,171.06000,17247080
14593,2019-02-22,AAPL,172.97000,18907829
14593,2019-02-25,AAPL,174.23000,21870758
14593,2019-02-26,AAPL,174.33000,17068911
14593,2019-02-27,AAPL,174.87000,27832500
14593,2019-02-28,AAPL,173.14999,28214816
14593,2019-03-01,AAPL,174.97000,25884817
14593,2019-03-04,AAPL,175.85001,27448424
14593,2019-03-05,AAPL,175.53000,19735919
14593,2019-03-06,AAPL,174.52000,20832292
14593,2019-03-07,AAPL,172.50000,24795166
14593,2019-03-08,AAPL,172.91000,23997584
14593,2019-03-11,AAPL,178.89999,32008934
14593,2019-03-12,AAPL,180.91000,32466191
14593,2019-03-13,AAPL,181.71001,31032024
14593,2019-03-14,AAPL,183.73000,23579408
14593,2019-03-15,AAPL,186.12000,39041265
14593,2019-03-18,AAPL,188.02000,26218632
14593,2019-03-19,AAPL,186.53000,31645700
14593,2019-03-20,AAPL,188.16000,31034436
14593,2019-03-21,AAPL,195.09000,51035993
14593,2019-03-22,AAPL,191.05000,42405890
14593,2019-03-25,AAPL,188.74001,43844370
14593,2019-03-26,AAPL,186.78999,49798847
14593,2019-03-27,AAPL,188.47000,29847108
14593,2019-03-28,AAPL,188.72000,20779811
14593,2019-03-29,AAPL,189.95000,23561761
14593,2019-04-01,AAPL,191.24001,27858987
14593,2019-04-02,AAPL,194.02000,22791540
14593,2019-04-03,AAPL,195.35001,23271030
14593,2019-04-04,AAPL,195.69000,19303875
14593,2019-04-05,AAPL,197.00000,18524554
14593,2019-04-08,AAPL,200.10001,25890849
14593,2019-04-09,AAPL,199.50000,35767039
14593,2019-04-10,AAPL,200.62000,21694194
14593,2019-04-11,AAPL,198.95000,20901963
14593,2019-04-12,AAPL,198.87000,27762780
14593,2019-04-15,AAPL,199.23000,17542846
14593,2019-04-16,AAPL,199.25000,25692516
14593,2019-04-17,AAPL,203.13000,29483980
14593,2019-04-18,AAPL,203.86000,24195522
14593,2019-04-22,AAPL,204.53000,19437945
14593,2019-04-23,AAPL,207.48000,23320966
14593,2019-04-24,AAPL,207.16000,17540709
14593,2019-04-25,AAPL,205.28000,18548766
